"Step","20260203_145728_traj_reward_fresh_configA_age1500 - actor/ratio_min","20260203_145728_traj_reward_fresh_configA_age1500 - actor/ratio_min__MIN","20260203_145728_traj_reward_fresh_configA_age1500 - actor/ratio_min__MAX","20260203_145221_traj_reward_fresh_configA_age1000 - actor/ratio_min","20260203_145221_traj_reward_fresh_configA_age1000 - actor/ratio_min__MIN","20260203_145221_traj_reward_fresh_configA_age1000 - actor/ratio_min__MAX","20260203_144832_traj_reward_fresh_configA - actor/ratio_min","20260203_144832_traj_reward_fresh_configA - actor/ratio_min__MIN","20260203_144832_traj_reward_fresh_configA - actor/ratio_min__MAX","20260203_141744_traj_reward_fresh - actor/ratio_min","20260203_141744_traj_reward_fresh - actor/ratio_min__MIN","20260203_141744_traj_reward_fresh - actor/ratio_min__MAX","20260201_191930_traj_reward_fresh_configA_IS - actor/ratio_min","20260201_191930_traj_reward_fresh_configA_IS - actor/ratio_min__MIN","20260201_191930_traj_reward_fresh_configA_IS - actor/ratio_min__MAX","20260201_191332_traj_reward_fresh - actor/ratio_min","20260201_191332_traj_reward_fresh - actor/ratio_min__MIN","20260201_191332_traj_reward_fresh - actor/ratio_min__MAX","20260131_160147_step_reward_fresh_configA - actor/ratio_min","20260131_160147_step_reward_fresh_configA - actor/ratio_min__MIN","20260131_160147_step_reward_fresh_configA - actor/ratio_min__MAX","20260131_160100_step_reward_fresh - actor/ratio_min","20260131_160100_step_reward_fresh - actor/ratio_min__MIN","20260131_160100_step_reward_fresh - actor/ratio_min__MAX","20260131_155522_traj_reward_fresh - actor/ratio_min","20260131_155522_traj_reward_fresh - actor/ratio_min__MIN","20260131_155522_traj_reward_fresh - actor/ratio_min__MAX","20260131_155911_traj_reward_fresh_configA - actor/ratio_min","20260131_155911_traj_reward_fresh_configA - actor/ratio_min__MIN","20260131_155911_traj_reward_fresh_configA - actor/ratio_min__MAX"
"0","1","1","1","0.8986960705369711","0.8986960705369711","0.8986960705369711","0.8773227892816067","0.8773227892816067","0.8773227892816067","0.9196307742968202","0.9196307742968202","0.9196307742968202","0.8625047346577048","0.8625047346577048","0.8625047346577048","0.8972261613234878","0.8972261613234878","0.8972261613234878","0.2710386011749506","0.2710386011749506","0.2710386011749506","0.8801520299166441","0.8801520299166441","0.8801520299166441","0.9248779248446226","0.9248779248446226","0.9248779248446226","0.8750541503541172","0.8750541503541172","0.8750541503541172"
"1","0.892987284809351","0.892987284809351","0.892987284809351","0.8973279483616352","0.8973279483616352","0.8973279483616352","0.8680307883769274","0.8680307883769274","0.8680307883769274","0.9167803106829524","0.9167803106829524","0.9167803106829524","0.8918076399713755","0.8918076399713755","0.8918076399713755","0.9259002916514874","0.9259002916514874","0.9259002916514874","0.00006267047865105013","0.00006267047865105013","0.00006267047865105013","0.8272629426792264","0.8272629426792264","0.8272629426792264","0.914457849226892","0.914457849226892","0.914457849226892","0.8934004511684179","0.8934004511684179","0.8934004511684179"
"2","0.8361795544624329","0.8361795544624329","0.8361795544624329","0.8597108758985996","0.8597108758985996","0.8597108758985996","0.8208040110766888","0.8208040110766888","0.8208040110766888","0.8678267560899258","0.8678267560899258","0.8678267560899258","0.8337790968362242","0.8337790968362242","0.8337790968362242","0.8656067699193954","0.8656067699193954","0.8656067699193954","8.196592852366402e-9","8.196592852366402e-9","8.196592852366402e-9","0.32262936036568135","0.32262936036568135","0.32262936036568135","0.8701248345896602","0.8701248345896602","0.8701248345896602","0.8948170691728592","0.8948170691728592","0.8948170691728592"
"3","0.6368575766682625","0.6368575766682625","0.6368575766682625","0.5230115335434675","0.5230115335434675","0.5230115335434675","0.3067039870657027","0.3067039870657027","0.3067039870657027","0.8977729249745607","0.8977729249745607","0.8977729249745607","0.6154027010420577","0.6154027010420577","0.6154027010420577","0.8474765177816153","0.8474765177816153","0.8474765177816153","2.297056247036605e-9","2.297056247036605e-9","2.297056247036605e-9","0.31488264781364705","0.31488264781364705","0.31488264781364705","0.8334927284158766","0.8334927284158766","0.8334927284158766","0.8102944474667311","0.8102944474667311","0.8102944474667311"
"4","0.6881826426833868","0.6881826426833868","0.6881826426833868","0.689647302031517","0.689647302031517","0.689647302031517","0.0167447376443306","0.0167447376443306","0.0167447376443306","0.8954477310180664","0.8954477310180664","0.8954477310180664","0.2228135629557073","0.2228135629557073","0.2228135629557073","0.8645906839519739","0.8645906839519739","0.8645906839519739","1.617326617900025e-8","1.617326617900025e-8","1.617326617900025e-8","0.35764544107951224","0.35764544107951224","0.35764544107951224","0.8405746694188565","0.8405746694188565","0.8405746694188565","0.4300333112478256","0.4300333112478256","0.4300333112478256"
"5","0.15340987360104918","0.15340987360104918","0.15340987360104918","0.13172711730294395","0.13172711730294395","0.13172711730294395","0.5438541692346917","0.5438541692346917","0.5438541692346917","0.7421825462952256","0.7421825462952256","0.7421825462952256","0.028666567784156882","0.028666567784156882","0.028666567784156882","0.8155433004721999","0.8155433004721999","0.8155433004721999","0.00006467689114638027","0.00006467689114638027","0.00006467689114638027","0.23803502635564655","0.23803502635564655","0.23803502635564655","0.8323391163721681","0.8323391163721681","0.8323391163721681","0.2313905069604516","0.2313905069604516","0.2313905069604516"
"6","0.13720135227777064","0.13720135227777064","0.13720135227777064","0.44657726935110986","0.44657726935110986","0.44657726935110986","0.46436956145771546","0.46436956145771546","0.46436956145771546","0.7273052940145135","0.7273052940145135","0.7273052940145135","0.0006014101572873187","0.0006014101572873187","0.0006014101572873187","0.7990090730600059","0.7990090730600059","0.7990090730600059","0.000029717197517139214","0.000029717197517139214","0.000029717197517139214","0.2618911419995129","0.2618911419995129","0.2618911419995129","0.7634387025609612","0.7634387025609612","0.7634387025609612","0.016223603171965806","0.016223603171965806","0.016223603171965806"
"7","0.3605151294468669","0.3605151294468669","0.3605151294468669","0.6502173664048314","0.6502173664048314","0.6502173664048314","0.3509589104905899","0.3509589104905899","0.3509589104905899","0.6678057513199747","0.6678057513199747","0.6678057513199747","0.00011868578519624862","0.00011868578519624862","0.00011868578519624862","0.7917025471106172","0.7917025471106172","0.7917025471106172","0.00026044240819743554","0.00026044240819743554","0.00026044240819743554","0.20681058925765683","0.20681058925765683","0.20681058925765683","0.7576468968763947","0.7576468968763947","0.7576468968763947","0.0022639706839981955","0.0022639706839981955","0.0022639706839981955"
"8","0.2536565348273143","0.2536565348273143","0.2536565348273143","0.5623948578722775","0.5623948578722775","0.5623948578722775","0.4845319313390064","0.4845319313390064","0.4845319313390064","0.433892767643556","0.433892767643556","0.433892767643556","0.0001850240460044006","0.0001850240460044006","0.0001850240460044006","0.7992528108879924","0.7992528108879924","0.7992528108879924","0.0001839175913252381","0.0001839175913252381","0.0001839175913252381","0.1553589614923112","0.1553589614923112","0.1553589614923112","0.8263946224469692","0.8263946224469692","0.8263946224469692","0.0010357693222431408","0.0010357693222431408","0.0010357693222431408"
"9","0.08605625369818881","0.08605625369818881","0.08605625369818881","0.4999223605263978","0.4999223605263978","0.4999223605263978","0.532509702949028","0.532509702949028","0.532509702949028","0.7187180435284972","0.7187180435284972","0.7187180435284972","0.00029454726939093234","0.00029454726939093234","0.00029454726939093234","0.8031379925087094","0.8031379925087094","0.8031379925087094","0.00006904945664178993","0.00006904945664178993","0.00006904945664178993","0.1626913019863423","0.1626913019863423","0.1626913019863423","0.8079377827234566","0.8079377827234566","0.8079377827234566","0.0011605493309616577","0.0011605493309616577","0.0011605493309616577"
