"Step","20260203_145728_traj_reward_fresh_configA_age1500 - actor/ratio_mean","20260203_145728_traj_reward_fresh_configA_age1500 - actor/ratio_mean__MIN","20260203_145728_traj_reward_fresh_configA_age1500 - actor/ratio_mean__MAX","20260203_145221_traj_reward_fresh_configA_age1000 - actor/ratio_mean","20260203_145221_traj_reward_fresh_configA_age1000 - actor/ratio_mean__MIN","20260203_145221_traj_reward_fresh_configA_age1000 - actor/ratio_mean__MAX","20260203_144832_traj_reward_fresh_configA - actor/ratio_mean","20260203_144832_traj_reward_fresh_configA - actor/ratio_mean__MIN","20260203_144832_traj_reward_fresh_configA - actor/ratio_mean__MAX","20260203_141744_traj_reward_fresh - actor/ratio_mean","20260203_141744_traj_reward_fresh - actor/ratio_mean__MIN","20260203_141744_traj_reward_fresh - actor/ratio_mean__MAX","20260201_191930_traj_reward_fresh_configA_IS - actor/ratio_mean","20260201_191930_traj_reward_fresh_configA_IS - actor/ratio_mean__MIN","20260201_191930_traj_reward_fresh_configA_IS - actor/ratio_mean__MAX","20260201_191332_traj_reward_fresh - actor/ratio_mean","20260201_191332_traj_reward_fresh - actor/ratio_mean__MIN","20260201_191332_traj_reward_fresh - actor/ratio_mean__MAX","20260131_160147_step_reward_fresh_configA - actor/ratio_mean","20260131_160147_step_reward_fresh_configA - actor/ratio_mean__MIN","20260131_160147_step_reward_fresh_configA - actor/ratio_mean__MAX","20260131_160100_step_reward_fresh - actor/ratio_mean","20260131_160100_step_reward_fresh - actor/ratio_mean__MIN","20260131_160100_step_reward_fresh - actor/ratio_mean__MAX","20260131_155522_traj_reward_fresh - actor/ratio_mean","20260131_155522_traj_reward_fresh - actor/ratio_mean__MIN","20260131_155522_traj_reward_fresh - actor/ratio_mean__MAX","20260131_155911_traj_reward_fresh_configA - actor/ratio_mean","20260131_155911_traj_reward_fresh_configA - actor/ratio_mean__MIN","20260131_155911_traj_reward_fresh_configA - actor/ratio_mean__MAX"
"0","1","1","1","1.002122912555933","1.002122912555933","1.002122912555933","0.9999689981341362","0.9999689981341362","0.9999689981341362","1.00096570327878","1.00096570327878","1.00096570327878","0.9998814910650253","0.9998814910650253","0.9998814910650253","1.0012006079778075","1.0012006079778075","1.0012006079778075","0.7463347688317299","0.7463347688317299","0.7463347688317299","0.9702848885208368","0.9702848885208368","0.9702848885208368","1.0012122504413128","1.0012122504413128","1.0012122504413128","0.9999729115515947","0.9999729115515947","0.9999729115515947"
"1","1.0007248632609844","1.0007248632609844","1.0007248632609844","0.9997496362775564","0.9997496362775564","0.9997496362775564","0.9993061423301697","0.9993061423301697","0.9993061423301697","1.0006736358627677","1.0006736358627677","1.0006736358627677","0.9999284688383341","0.9999284688383341","0.9999284688383341","1.0008731735870242","1.0008731735870242","1.0008731735870242","0.030211838471586816","0.030211838471586816","0.030211838471586816","0.9834165032953024","0.9834165032953024","0.9834165032953024","1.000699452124536","1.000699452124536","1.000699452124536","1.0001510474830866","1.0001510474830866","1.0001510474830866"
"2","0.9997848309576511","0.9997848309576511","0.9997848309576511","0.9986177645623684","0.9986177645623684","0.9986177645623684","0.9955840073525906","0.9955840073525906","0.9955840073525906","0.9975457554683089","0.9975457554683089","0.9975457554683089","0.9975085482001305","0.9975085482001305","0.9975085482001305","1.0008336622267962","1.0008336622267962","1.0008336622267962","0.11307113560659166","0.11307113560659166","0.11307113560659166","0.6504863649606705","0.6504863649606705","0.6504863649606705","0.9988238085061312","0.9988238085061312","0.9988238085061312","1.000708943232894","1.000708943232894","1.000708943232894"
"3","0.9949451424181461","0.9949451424181461","0.9949451424181461","0.9853737335652113","0.9853737335652113","0.9853737335652113","0.9615317303687334","0.9615317303687334","0.9615317303687334","0.9971102913841605","0.9971102913841605","0.9971102913841605","0.9880495481193066","0.9880495481193066","0.9880495481193066","1.0009082593023777","1.0009082593023777","1.0009082593023777","0.22079968560606067","0.22079968560606067","0.22079968560606067","0.6110947616398335","0.6110947616398335","0.6110947616398335","0.9984162775799632","0.9984162775799632","0.9984162775799632","0.9969251379370689","0.9969251379370689","0.9969251379370689"
"4","1.006441231817007","1.006441231817007","1.006441231817007","0.9825791846960783","0.9825791846960783","0.9825791846960783","0.8468615710735321","0.8468615710735321","0.8468615710735321","0.9973119935020804","0.9973119935020804","0.9973119935020804","0.9590525813400745","0.9590525813400745","0.9590525813400745","1.0036582369357347","1.0036582369357347","1.0036582369357347","0.30036284054202983","0.30036284054202983","0.30036284054202983","0.6740867760963738","0.6740867760963738","0.6740867760963738","0.9958329126238823","0.9958329126238823","0.9958329126238823","0.9718806575983763","0.9718806575983763","0.9718806575983763"
"5","0.9689560160040855","0.9689560160040855","0.9689560160040855","0.9681066740304232","0.9681066740304232","0.9681066740304232","0.9663106724619865","0.9663106724619865","0.9663106724619865","0.9902397068217397","0.9902397068217397","0.9902397068217397","0.9316752720624208","0.9316752720624208","0.9316752720624208","0.9995680144056678","0.9995680144056678","0.9995680144056678","0.38450598837117855","0.38450598837117855","0.38450598837117855","0.7598160919733346","0.7598160919733346","0.7598160919733346","1.0020506968721747","1.0020506968721747","1.0020506968721747","0.9497405216097832","0.9497405216097832","0.9497405216097832"
"6","0.9489964954555035","0.9489964954555035","0.9489964954555035","0.9778023529797792","0.9778023529797792","0.9778023529797792","1.0025759395211935","1.0025759395211935","1.0025759395211935","0.9964561192318797","0.9964561192318797","0.9964561192318797","0.7600234281271696","0.7600234281271696","0.7600234281271696","1.0001558754593134","1.0001558754593134","1.0001558754593134","0.5139050136785954","0.5139050136785954","0.5139050136785954","0.7099169734865427","0.7099169734865427","0.7099169734865427","0.9963832506909966","0.9963832506909966","0.9963832506909966","0.9255800470709801","0.9255800470709801","0.9255800470709801"
"7","0.9946552440524101","0.9946552440524101","0.9946552440524101","1.0097499080002308","1.0097499080002308","1.0097499080002308","1.0066302306950092","1.0066302306950092","1.0066302306950092","1.002480611205101","1.002480611205101","1.002480611205101","0.7624256554991007","0.7624256554991007","0.7624256554991007","1.0050823781639338","1.0050823781639338","1.0050823781639338","0.5275084814056754","0.5275084814056754","0.5275084814056754","0.627167483791709","0.627167483791709","0.627167483791709","0.9976462963968515","0.9976462963968515","0.9976462963968515","0.8678545895963907","0.8678545895963907","0.8678545895963907"
"8","1.0535722468048334","1.0535722468048334","1.0535722468048334","1.0231933072209358","1.0231933072209358","1.0231933072209358","1.0166225377470255","1.0166225377470255","1.0166225377470255","1.01339987013489","1.01339987013489","1.01339987013489","0.7551112845540047","0.7551112845540047","0.7551112845540047","0.9996678391471505","0.9996678391471505","0.9996678391471505","0.571234380826354","0.571234380826354","0.571234380826354","0.6023182182107121","0.6023182182107121","0.6023182182107121","1.002634626813233","1.002634626813233","1.002634626813233","0.9735574703663588","0.9735574703663588","0.9735574703663588"
"9","1.0335733648389578","1.0335733648389578","1.0335733648389578","1.0147475730627775","1.0147475730627775","1.0147475730627775","1.027176158502698","1.027176158502698","1.027176158502698","1.0094266515225172","1.0094266515225172","1.0094266515225172","0.783088805153966","0.783088805153966","0.783088805153966","1.000978928990662","1.000978928990662","1.000978928990662","0.6553158396854997","0.6553158396854997","0.6553158396854997","0.6762173206079751","0.6762173206079751","0.6762173206079751","1.002489348873496","1.002489348873496","1.002489348873496","0.8891158550977707","0.8891158550977707","0.8891158550977707"
