Step,20260114_143335_frozen_lake_no_replay_step,20260115_193211_traj_per,20260119_204444_step_per_nstep,20260119_223447_step_reward_fresh_nstep,20260120_142505_traj_reward_fresh,20260122_145133_step_baseline,20260122_145417_traj_baseline,20260122_150106_traj_per,20260123_164415_step_per,20260123_164201_step_baseline,20260124_155601_step_per,20260124_160415_step_reward_fresh,20260126_050125_step_reward_fresh,20260126_202655_traj_baseline,20260127_215523_traj_reward_fresh,20260128_181929_traj_reward_fresh_configA,20260128_184656_step_reward_fresh_configA,20260129_160515_traj_reward_fresh_configA,20260130_034120_step_reward_fresh_configA,20260130_040529_traj_reward_fresh_configA,20260130_040641_traj_reward_fresh,20260130_045910_step_reward_fresh,20260131_155911_traj_reward_fresh_configA,20260131_155522_traj_reward_fresh,20260131_160100_step_reward_fresh,20260131_160147_step_reward_fresh_configA,20260201_191332_traj_reward_fresh,20260201_191930_traj_reward_fresh_configA_IS,20260203_141744_traj_reward_fresh,20260203_144832_traj_reward_fresh_configA,20260203_145221_traj_reward_fresh_configA_age1000,20260203_145728_traj_reward_fresh_configA_age1500
0,7.30437216758728,10.766643524169922,0.0,0,0,7.208829116821289,19.984344482421875,33.09562301635742,1.364291787147522,56.75971918106079,12.218477249145508,2.213261127471924,0.0,621.3513793945312,133.61599731445312,16.204984664916992,14.99846076965332,6.090487003326416,0.0,12.170184135437012,326.6383056640625,15.568538665771484,20.457124710083008,110.57462310791016,38.07109832763672,0,164.10110473632812,13.674431800842285,158.56011962890625,27.471874237060547,22.19356918334961,0.0
10,8.484392325083414,21.874540328979492,21.962060928344727,28.169466018676758,0,16.643434683481853,74.17665100097656,0.0,19.6080322265625,95.85204315185547,19.59532928466797,61.80885696411133,0.0,186.1483154296875,135.24057006835938,19.29115104675293,0.0,11.672581672668457,0.0,33.684532165527344,302.9289855957031,356.4674987792969,0.0,130.0013885498047,264.4646301269531,0,159.08016967773438,17.870431900024414,239.70103454589844,19.133455276489258,14.582796096801758,48.89712142944336
20,7.527839660644531,0.0,72.45885467529297,146.64193725585938,0,13.290132363637289,157.65774536132812,0.0,2.206242084503174,20.48236656188965,3.282632350921631,2.05950927734375,0.0,748.5401000976562,250.76327514648438,0.0,3.484515905380249,0.0,0.0,0.0,196.39634704589844,390.6874694824219,0.0,184.4814910888672,191.48704528808594,0,285.5663757324219,0.0,133.4148406982422,0.0,0.0,1.97200345993042
30,7.963953876495362,0.0,79.73400115966797,53.92204666137695,0,20.102882226308186,28.665193557739258,0.0,0.889966607093811,27.59480857849121,3.2735469341278076,2.2457737922668457,0.0,70.52296447753906,148.465576171875,0.0,0.0,0.0,0.0,0.0,177.17071533203125,267.72900390625,0.0,150.59027099609375,124.89832305908203,0,220.57102966308594,0.0,115.0123519897461,0.0,0.0,0.0
40,6.234541455904643,0.0,101.40606689453125,53.085811614990234,0,34.5689697265625,51.38270568847656,0.0,1.4955767393112183,48.64726638793945,1.501800537109375,1.708016037940979,0.0,71.0147705078125,414.9676513671875,0.0,0.0,0.0,0.0,0.0,335.29608154296875,204.0963592529297,0.0,213.6302490234375,122.2913818359375,0,193.25791931152344,0.0,193.4287109375,0.0,0.0,0.0
50,8.101734352111816,0.0,165.767333984375,55.17852020263672,0,26.97169558207194,10.041802406311035,0.0,2.0872485637664795,29.800040245056152,2.0536859035491943,1.95404851436615,0.0,52.149505615234375,176.28097534179688,0.0,0.0,0.0,0.0,0.0,223.60653686523438,155.84359741210938,0.0,180.34307861328125,164.04180908203125,0,135.6100311279297,0.0,154.28567504882812,0.0,0.0,0.0
60,27.369923782348632,0.0,167.31048583984375,59.39847946166992,0,22.798080716814315,17.054481506347656,0.0,1.2310367822647095,37.80423851013184,1.2940233945846558,2.0963380336761475,0.0,89.8413314819336,181.87998962402344,0.0,0.0,0.0,0.0,0.0,171.26666259765625,194.5936737060547,0.0,151.34939575195312,160.46043395996094,0,131.5259552001953,0.0,95.28472900390625,0.0,0.0,0.0
70,22.029715220133465,0.0,124.04940032958984,70.41719818115234,0,28.259719848632812,13.561504364013672,0.0,0.5835289359092712,40.433611679077146,1.6279189586639404,3.3358888626098633,0.0,61.822330474853516,198.42059326171875,0.0,0.0,0.0,0.0,0.0,190.8826904296875,53.449195861816406,0.0,241.2469024658203,110.58641052246094,0,291.65673828125,0.0,61.01251220703125,0.0,0.0,0.0
80,40.157440185546875,0.0,168.76040649414062,72.377197265625,0,22.445534024919784,13.771943092346191,0.0,0.5519543886184692,26.237002563476562,14.003403663635254,2.1683595180511475,0.0,67.33590698242188,164.42503356933594,0.0,0.0,0.0,0.0,0.0,191.67823791503906,53.20120620727539,0.0,105.22970581054688,72.02166748046875,0,150.82952880859375,0.0,75.63261413574219,0.0,0.0,0.0
90,82.74642181396484,0.0,195.16050720214844,86.38434600830078,0,20.458678881327312,8.428160667419434,0.0,0.849773645401001,33.36035594940186,1.7456575632095337,3.223790407180786,0.0,68.54174041748047,225.8495635986328,0.0,0.0,0.0,0.0,0.0,208.1660919189453,47.00444412231445,0.0,265.5005798339844,217.14076232910156,0,256.6790771484375,0.0,67.35240173339844,0.0,0.0,0.0
